record_id,work_date,month,week_start,shift,department,employee_count,labor_hours,units_picked,orders_picked,accurate_orders,quality_defects,safety_incidents
46,2026-01-04,2026-01,2025-12-29,Day,Pick,22,206.41,69415,22163,21890,136,0
47,2026-01-04,2026-01,2025-12-29,Night,Pick,19,190.34,53374,20534,20274,161,0
48,2026-01-04,2026-01,2025-12-29,Weekend,Pick,31,314.74,92282,25068,24777,186,0
49,2026-01-04,2026-01,2025-12-29,Day,Pack,23,229.69,53519,15841,15717,126,0
50,2026-01-04,2026-01,2025-12-29,Night,Pack,41,404.23,92034,26601,26345,210,0
51,2026-01-04,2026-01,2025-12-29,Weekend,Pack,25,218.98,53076,19234,19158,121,0
52,2026-01-04,2026-01,2025-12-29,Day,Stow,39,341.16,75644,21112,20906,213,0
53,2026-01-04,2026-01,2025-12-29,Night,Stow,30,288.69,65418,23964,23550,266,0
54,2026-01-04,2026-01,2025-12-29,Weekend,Stow,36,364.77,70713,29793,29375,266,0
55,2026-01-04,2026-01,2025-12-29,Day,Receive,37,376.35,69222,19021,18755,141,0
56,2026-01-04,2026-01,2025-12-29,Night,Receive,34,342.25,63512,18953,18772,202,0
57,2026-01-04,2026-01,2025-12-29,Weekend,Receive,20,202.16,38014,11890,11769,83,0
58,2026-01-04,2026-01,2025-12-29,Day,Sort,34,304.53,84102,29573,29273,145,0
59,2026-01-04,2026-01,2025-12-29,Night,Sort,30,288.58,81058,25451,25194,188,1
60,2026-01-04,2026-01,2025-12-29,Weekend,Sort,27,237.01,61903,19524,19330,134,0
61,2026-01-05,2026-01,2026-01-05,Day,Pick,34,314.56,106983,30799,30425,202,0
62,2026-01-05,2026-01,2026-01-05,Night,Pick,38,361.56,99138,26627,26318,223,0
63,2026-01-05,2026-01,2026-01-05,Weekend,Pick,22,185.77,49732,16800,16687,93,0
64,2026-01-05,2026-01,2026-01-05,Day,Pack,38,358.58,94956,33740,33494,136,0
65,2026-01-05,2026-01,2026-01-05,Night,Pack,42,417.85,106192,30821,30551,234,0
66,2026-01-05,2026-01,2026-01-05,Weekend,Pack,32,271.69,58475,16438,16325,129,0
67,2026-01-05,2026-01,2026-01-05,Day,Stow,35,331.51,81995,22611,22326,306,0
68,2026-01-05,2026-01,2026-01-05,Night,Stow,35,322.09,64518,18030,17779,245,0
69,2026-01-05,2026-01,2026-01-05,Weekend,Stow,26,254.24,51655,16128,15881,124,0
70,2026-01-05,2026-01,2026-01-05,Day,Receive,26,234.12,49534,21269,20965,132,0
71,2026-01-05,2026-01,2026-01-05,Night,Receive,24,204.37,37040,12072,11925,87,0
72,2026-01-05,2026-01,2026-01-05,Weekend,Receive,42,396.96,71830,20116,19927,191,1
73,2026-01-05,2026-01,2026-01-05,Day,Sort,29,259.19,71339,19671,19557,165,0
74,2026-01-05,2026-01,2026-01-05,Night,Sort,37,370.59,96853,36733,36417,203,0
75,2026-01-05,2026-01,2026-01-05,Weekend,Sort,30,291.11,76743,20904,20807,177,0
76,2026-01-06,2026-01,2026-01-05,Day,Pick,36,338.97,98370,30470,30092,246,0
77,2026-01-06,2026-01,2026-01-05,Night,Pick,30,269.68,79133,28881,28694,174,0
78,2026-01-06,2026-01,2026-01-05,Weekend,Pick,31,274.48,71222,31924,31631,240,0
79,2026-01-06,2026-01,2026-01-05,Day,Pack,38,323.89,89321,39446,39042,138,0
80,2026-01-06,2026-01,2026-01-05,Night,Pack,37,320.95,71142,21748,21618,108,0
81,2026-01-06,2026-01,2026-01-05,Weekend,Pack,42,380.69,87443,23368,23257,190,0
82,2026-01-06,2026-01,2026-01-05,Day,Stow,27,232.05,48561,17991,17774,206,0
83,2026-01-06,2026-01,2026-01-05,Night,Stow,40,350.28,75989,21533,21198,280,0
84,2026-01-06,2026-01,2026-01-05,Weekend,Stow,39,369.75,69733,18476,18268,207,0
85,2026-01-06,2026-01,2026-01-05,Day,Receive,29,247.2,50144,22585,22311,143,0
86,2026-01-06,2026-01,2026-01-05,Night,Receive,29,276.78,54028,16216,16021,178,0
87,2026-01-06,2026-01,2026-01-05,Weekend,Receive,26,247.22,46479,13514,13355,161,0
88,2026-01-06,2026-01,2026-01-05,Day,Sort,28,278.13,82747,35382,35189,156,0
89,2026-01-06,2026-01,2026-01-05,Night,Sort,37,355.3,90313,30196,29897,202,0
90,2026-01-06,2026-01,2026-01-05,Weekend,Sort,26,234.33,62192,18722,18529,97,0
91,2026-01-07,2026-01,2026-01-05,Day,Pick,20,176.69,55102,17842,17635,139,0
92,2026-01-07,2026-01,2026-01-05,Night,Pick,32,314.47,86222,33752,33483,194,0
93,2026-01-07,2026-01,2026-01-05,Weekend,Pick,33,310.08,84560,22284,22081,196,0
94,2026-01-07,2026-01,2026-01-05,Day,Pack,27,239.02,56743,22624,22408,107,0
95,2026-01-07,2026-01,2026-01-05,Night,Pack,23,201.13,49851,18866,18757,107,0
96,2026-01-07,2026-01,2026-01-05,Weekend,Pack,21,207.87,45136,16251,16120,94,0
97,2026-01-07,2026-01,2026-01-05,Day,Stow,19,192.92,44564,13440,13218,180,0
98,2026-01-07,2026-01,2026-01-05,Night,Stow,18,169.8,36036,12406,12207,85,0
99,2026-01-07,2026-01,2026-01-05,Weekend,Stow,33,283.98,52980,17738,17509,194,0
100,2026-01-07,2026-01,2026-01-05,Day,Receive,36,363.9,66538,25620,25337,181,0
101,2026-01-07,2026-01,2026-01-05,Night,Receive,37,325.83,60295,20643,20396,213,0
102,2026-01-07,2026-01,2026-01-05,Weekend,Receive,27,254.44,40955,10962,10801,137,0
103,2026-01-07,2026-01,2026-01-05,Day,Sort,26,249.31,65684,26506,26191,101,0
104,2026-01-07,2026-01,2026-01-05,Night,Sort,37,342.1,82058,30838,30522,227,0
105,2026-01-07,2026-01,2026-01-05,Weekend,Sort,25,251.58,65729,20540,20392,189,0
106,2026-01-08,2026-01,2026-01-05,Day,Pick,35,308.16,91573,34885,34454,169,0
107,2026-01-08,2026-01,2026-01-05,Night,Pick,37,360.68,108037,40588,40080,310,0
108,2026-01-08,2026-01,2026-01-05,Weekend,Pick,26,241.82,67779,29106,28722,166,0
109,2026-01-08,2026-01,2026-01-05,Day,Pack,26,219.61,53226,16233,16174,104,0
110,2026-01-08,2026-01,2026-01-05,Night,Pack,42,403.62,91942,40604,40423,166,0
111,2026-01-08,2026-01,2026-01-05,Weekend,Pack,26,226.89,51927,16148,16042,71,0
112,2026-01-08,2026-01,2026-01-05,Day,Stow,28,251.38,53423,21740,21431,175,0
113,2026-01-08,2026-01,2026-01-05,Night,Stow,30,295.93,63721,21765,21439,186,0
114,2026-01-08,2026-01,2026-01-05,Weekend,Stow,30,298.71,63994,29064,28758,205,0
115,2026-01-08,2026-01,2026-01-05,Day,Receive,34,307.74,63617,19876,19689,148,0
116,2026-01-08,2026-01,2026-01-05,Night,Receive,27,248.09,47355,19778,19625,145,0
117,2026-01-08,2026-01,2026-01-05,Weekend,Receive,23,206.07,32867,11521,11363,115,0
118,2026-01-08,2026-01,2026-01-05,Day,Sort,21,200.88,52895,14326,14180,135,0
119,2026-01-08,2026-01,2026-01-05,Night,Sort,33,335.43,83796,27189,26933,240,0
120,2026-01-08,2026-01,2026-01-05,Weekend,Sort,22,219.02,52212,15073,14935,150,0
121,2026-01-09,2026-01,2026-01-05,Day,Pick,18,160.36,49023,15617,15531,125,0
122,2026-01-09,2026-01,2026-01-05,Night,Pick,35,324.51,93112,27221,26936,304,0
123,2026-01-09,2026-01,2026-01-05,Weekend,Pick,40,353.19,97019,27179,26901,220,0
124,2026-01-09,2026-01,2026-01-05,Day,Pack,30,272.85,71570,20372,20318,132,0
125,2026-01-09,2026-01,2026-01-05,Night,Pack,34,344.68,79436,33651,33525,109,0
126,2026-01-09,2026-01,2026-01-05,Weekend,Pack,18,174.61,38719,11922,11812,70,0
127,2026-01-09,2026-01,2026-01-05,Day,Stow,28,266.61,59875,25714,25332,218,0
128,2026-01-09,2026-01,2026-01-05,Night,Stow,28,266.79,60904,20433,20164,215,0
129,2026-01-09,2026-01,2026-01-05,Weekend,Stow,39,392.25,86500,25480,25123,211,0
130,2026-01-09,2026-01,2026-01-05,Day,Receive,21,193.17,39504,10836,10672,135,0
131,2026-01-09,2026-01,2026-01-05,Night,Receive,29,266.08,46781,16361,16197,107,0
132,2026-01-09,2026-01,2026-01-05,Weekend,Receive,37,368.8,65855,25473,25264,146,0
133,2026-01-09,2026-01,2026-01-05,Day,Sort,26,239.91,69389,19072,18905,135,0
134,2026-01-09,2026-01,2026-01-05,Night,Sort,20,183.9,46825,14912,14802,101,0
135,2026-01-09,2026-01,2026-01-05,Weekend,Sort,27,236.48,57523,19348,19143,136,0
136,2026-01-10,2026-01,2026-01-05,Day,Pick,40,357.26,123071,37831,37403,329,0
137,2026-01-10,2026-01,2026-01-05,Night,Pick,41,416.25,132250,38986,38719,425,0
138,2026-01-10,2026-01,2026-01-05,Weekend,Pick,25,237.32,64821,20140,19968,185,0
139,2026-01-10,2026-01,2026-01-05,Day,Pack,39,375.4,89397,37953,37745,117,0
140,2026-01-10,2026-01,2026-01-05,Night,Pack,19,179.42,44423,18950,18796,95,0
141,2026-01-10,2026-01,2026-01-05,Weekend,Pack,22,215.95,51973,18659,18538,82,0
142,2026-01-10,2026-01,2026-01-05,Day,Stow,33,334.66,73747,20527,20300,237,0
143,2026-01-10,2026-01,2026-01-05,Night,Stow,42,425.87,96771,28812,28534,411,0
144,2026-01-10,2026-01,2026-01-05,Weekend,Stow,29,248.31,49305,18796,18486,148,0
145,2026-01-10,2026-01,2026-01-05,Day,Receive,26,245.76,51380,13870,13667,123,0
146,2026-01-10,2026-01,2026-01-05,Night,Receive,35,314.66,59142,18275,18085,166,0
147,2026-01-10,2026-01,2026-01-05,Weekend,Receive,38,347.13,56744,15278,15078,162,0
148,2026-01-10,2026-01,2026-01-05,Day,Sort,35,302.55,84246,25741,25572,244,0
149,2026-01-10,2026-01,2026-01-05,Night,Sort,41,398.02,111474,34322,34122,270,0
150,2026-01-10,2026-01,2026-01-05,Weekend,Sort,26,219.93,53358,18340,18250,147,0
151,2026-01-11,2026-01,2026-01-05,Day,Pick,39,353.39,120199,37193,36709,264,0
152,2026-01-11,2026-01,2026-01-05,Night,Pick,32,274.08,76885,23854,23717,141,0
153,2026-01-11,2026-01,2026-01-05,Weekend,Pick,22,215.96,57384,16267,16120,155,0
154,2026-01-11,2026-01,2026-01-05,Day,Pack,25,224.79,53642,14733,14579,121,0
155,2026-01-11,2026-01,2026-01-05,Night,Pack,22,206.19,51635,21733,21655,73,0
156,2026-01-11,2026-01,2026-01-05,Weekend,Pack,25,236.5,48661,18540,18364,85,0
157,2026-01-11,2026-01,2026-01-05,Day,Stow,20,185.14,44481,14723,14478,146,0
158,2026-01-11,2026-01,2026-01-05,Night,Stow,19,184.47,42263,12987,12791,151,0
159,2026-01-11,2026-01,2026-01-05,Weekend,Stow,33,327.53,65412,27568,27243,207,0
160,2026-01-11,2026-01,2026-01-05,Day,Receive,28,265.86,48427,18343,18152,143,0
161,2026-01-11,2026-01,2026-01-05,Night,Receive,37,346.14,63261,19964,19670,205,0
162,2026-01-11,2026-01,2026-01-05,Weekend,Receive,38,379.24,66903,18663,18438,239,0
163,2026-01-11,2026-01,2026-01-05,Day,Sort,32,291.77,85314,31597,31281,162,0
164,2026-01-11,2026-01,2026-01-05,Night,Sort,39,392.39,94761,26838,26523,159,0
165,2026-01-11,2026-01,2026-01-05,Weekend,Sort,22,206.83,52177,16839,16673,89,0
166,2026-01-12,2026-01,2026-01-12,Day,Pick,39,393.67,123139,33595,33155,273,0
167,2026-01-12,2026-01,2026-01-12,Night,Pick,21,198.25,55618,17109,16909,107,0
168,2026-01-12,2026-01,2026-01-12,Weekend,Pick,29,249.6,67245,26249,25985,179,0
169,2026-01-12,2026-01,2026-01-12,Day,Pack,37,351.66,91906,40993,40867,205,0
170,2026-01-12,2026-01,2026-01-12,Night,Pack,23,204.51,50898,13852,13745,75,0
171,2026-01-12,2026-01,2026-01-12,Weekend,Pack,39,355.74,75014,23346,23107,160,0
172,2026-01-12,2026-01,2026-01-12,Day,Stow,31,285.71,61340,22730,22391,258,0
173,2026-01-12,2026-01,2026-01-12,Night,Stow,19,164.92,36806,16146,15874,116,0
174,2026-01-12,2026-01,2026-01-12,Weekend,Stow,37,340.24,66053,19382,19060,207,0
175,2026-01-12,2026-01,2026-01-12,Day,Receive,39,369.24,73315,27220,26846,275,0
176,2026-01-12,2026-01,2026-01-12,Night,Receive,24,214.62,37499,15498,15289,96,1
177,2026-01-12,2026-01,2026-01-12,Weekend,Receive,41,376.18,61368,20107,19832,183,0
178,2026-01-12,2026-01,2026-01-12,Day,Sort,29,247.36,73982,32624,32221,211,0
179,2026-01-12,2026-01,2026-01-12,Night,Sort,36,330.22,84996,26362,26094,180,0
180,2026-01-12,2026-01,2026-01-12,Weekend,Sort,23,226.37,57427,16263,16179,96,0
181,2026-01-13,2026-01,2026-01-12,Day,Pick,25,229.61,71526,30753,30552,212,0
182,2026-01-13,2026-01,2026-01-12,Night,Pick,42,365.51,108340,45474,45046,349,0
183,2026-01-13,2026-01,2026-01-12,Weekend,Pick,41,415.12,119531,49062,48440,259,0
184,2026-01-13,2026-01,2026-01-12,Day,Pack,22,214.9,56290,22666,22568,103,0
185,2026-01-13,2026-01,2026-01-12,Night,Pack,42,396.61,97327,26951,26807,235,0
186,2026-01-13,2026-01,2026-01-12,Weekend,Pack,38,340.82,75989,25757,25617,167,0
187,2026-01-13,2026-01,2026-01-12,Day,Stow,29,270.08,59686,20419,20071,237,0
188,2026-01-13,2026-01,2026-01-12,Night,Stow,20,190.14,40628,13817,13636,158,0
189,2026-01-13,2026-01,2026-01-12,Weekend,Stow,32,321.16,65841,26324,25991,216,0
190,2026-01-13,2026-01,2026-01-12,Day,Receive,32,274.76,58193,21165,20958,167,0
191,2026-01-13,2026-01,2026-01-12,Night,Receive,25,241.84,48511,15965,15795,127,0
192,2026-01-13,2026-01,2026-01-12,Weekend,Receive,30,274.07,46514,14735,14600,146,0
193,2026-01-13,2026-01,2026-01-12,Day,Sort,21,197.49,54323,20868,20749,159,0
194,2026-01-13,2026-01,2026-01-12,Night,Sort,22,198.0,52629,21691,21481,154,0
195,2026-01-13,2026-01,2026-01-12,Weekend,Sort,30,258.96,66745,28578,28349,164,0
196,2026-01-14,2026-01,2026-01-12,Day,Pick,22,211.34,71005,20995,20827,185,0
197,2026-01-14,2026-01,2026-01-12,Night,Pick,31,288.77,78025,28961,28790,180,0
198,2026-01-14,2026-01,2026-01-12,Weekend,Pick,24,211.39,55445,23863,23702,106,0
199,2026-01-14,2026-01,2026-01-12,Day,Pack,41,409.62,95686,34937,34784,135,0
200,2026-01-14,2026-01,2026-01-12,Night,Pack,23,200.69,49349,15424,15373,104,0
201,2026-01-14,2026-01,2026-01-12,Weekend,Pack,29,278.91,59895,20577,20408,128,0
202,2026-01-14,2026-01,2026-01-12,Day,Stow,35,309.07,76641,22183,21955,203,0
203,2026-01-14,2026-01,2026-01-12,Night,Stow,36,366.19,77606,29276,28853,259,0
204,2026-01-14,2026-01,2026-01-12,Weekend,Stow,24,236.21,44698,17192,16979,181,0
205,2026-01-14,2026-01,2026-01-12,Day,Receive,21,203.29,40285,16789,16540,91,0
206,2026-01-14,2026-01,2026-01-12,Night,Receive,34,294.62,53687,14454,14256,149,0
207,2026-01-14,2026-01,2026-01-12,Weekend,Receive,18,164.64,28243,10093,9968,60,0
208,2026-01-14,2026-01,2026-01-12,Day,Sort,28,282.11,84054,25943,25783,146,0
209,2026-01-14,2026-01,2026-01-12,Night,Sort,33,318.55,78003,23432,23223,121,0
210,2026-01-14,2026-01,2026-01-12,Weekend,Sort,26,228.49,53177,14355,14245,114,0
211,2026-01-15,2026-01,2026-01-12,Day,Pick,25,223.55,65138,22683,22521,162,0
212,2026-01-15,2026-01,2026-01-12,Night,Pick,33,312.65,84445,27919,27596,167,0
213,2026-01-15,2026-01,2026-01-12,Weekend,Pick,37,334.3,94997,38003,37693,247,0
214,2026-01-15,2026-01,2026-01-12,Day,Pack,34,318.9,85444,28366,28073,195,0
215,2026-01-15,2026-01,2026-01-12,Night,Pack,30,304.98,69264,31116,30986,115,0
216,2026-01-15,2026-01,2026-01-12,Weekend,Pack,38,326.29,74630,21881,21675,125,0
217,2026-01-15,2026-01,2026-01-12,Day,Stow,38,331.18,79580,27037,26714,283,0
218,2026-01-15,2026-01,2026-01-12,Night,Stow,20,193.78,44654,19766,19452,174,0
219,2026-01-15,2026-01,2026-01-12,Weekend,Stow,28,282.24,57284,15144,14945,158,0
220,2026-01-15,2026-01,2026-01-12,Day,Receive,24,213.96,45034,19782,19579,111,0
221,2026-01-15,2026-01,2026-01-12,Night,Receive,31,310.03,59642,16424,16220,223,0
222,2026-01-15,2026-01,2026-01-12,Weekend,Receive,33,299.02,55066,20964,20653,150,0
223,2026-01-15,2026-01,2026-01-12,Day,Sort,23,215.78,58642,25189,25007,116,0
224,2026-01-15,2026-01,2026-01-12,Night,Sort,31,269.7,69921,23983,23823,199,0
225,2026-01-15,2026-01,2026-01-12,Weekend,Sort,31,275.72,74407,20020,19782,182,0
226,2026-01-16,2026-01,2026-01-12,Day,Pick,41,394.54,135348,55734,55252,409,0
227,2026-01-16,2026-01,2026-01-12,Night,Pick,20,176.5,53581,19278,19164,97,0
228,2026-01-16,2026-01,2026-01-12,Weekend,Pick,32,323.45,88670,25920,25689,231,0
229,2026-01-16,2026-01,2026-01-12,Day,Pack,38,338.26,93334,41640,41265,174,0
230,2026-01-16,2026-01,2026-01-12,Night,Pack,21,186.3,42363,14538,14501,68,0
231,2026-01-16,2026-01,2026-01-12,Weekend,Pack,33,289.09,60888,26262,26023,128,0
232,2026-01-16,2026-01,2026-01-12,Day,Stow,39,395.52,98422,30112,29756,333,0
233,2026-01-16,2026-01,2026-01-12,Night,Stow,27,268.18,59411,16128,15928,231,0
234,2026-01-16,2026-01,2026-01-12,Weekend,Stow,21,213.64,45514,17649,17410,136,0
235,2026-01-16,2026-01,2026-01-12,Day,Receive,32,315.09,62841,19767,19474,159,0
236,2026-01-16,2026-01,2026-01-12,Night,Receive,41,379.73,68860,24118,23855,151,0
237,2026-01-16,2026-01,2026-01-12,Weekend,Receive,20,184.2,33242,12083,11981,112,0
238,2026-01-16,2026-01,2026-01-12,Day,Sort,23,224.99,58958,19623,19514,161,0
239,2026-01-16,2026-01,2026-01-12,Night,Sort,27,234.8,59532,17851,17677,172,0
240,2026-01-16,2026-01,2026-01-12,Weekend,Sort,20,177.02,45041,14617,14449,89,0
241,2026-01-17,2026-01,2026-01-12,Day,Pick,34,324.83,104738,33473,33067,290,0
242,2026-01-17,2026-01,2026-01-12,Night,Pick,28,277.66,83087,23602,23289,152,0
243,2026-01-17,2026-01,2026-01-12,Weekend,Pick,36,319.55,84998,27283,27050,153,0
244,2026-01-17,2026-01,2026-01-12,Day,Pack,35,312.25,86101,28964,28846,177,0
245,2026-01-17,2026-01,2026-01-12,Night,Pack,20,192.79,42997,15008,14906,71,0
246,2026-01-17,2026-01,2026-01-12,Weekend,Pack,40,358.99,88025,31979,31745,189,0
247,2026-01-17,2026-01,2026-01-12,Day,Stow,21,188.46,42860,16309,16056,105,0
248,2026-01-17,2026-01,2026-01-12,Night,Stow,30,298.66,62796,16789,16616,247,0
249,2026-01-17,2026-01,2026-01-12,Weekend,Stow,41,367.48,77900,25991,25643,255,0
250,2026-01-17,2026-01,2026-01-12,Day,Receive,18,154.12,29868,10188,10050,90,0
251,2026-01-17,2026-01,2026-01-12,Night,Receive,27,250.85,49414,15219,15040,145,0
252,2026-01-17,2026-01,2026-01-12,Weekend,Receive,31,267.87,44839,16099,15901,92,0
253,2026-01-17,2026-01,2026-01-12,Day,Sort,35,306.26,86823,37462,37145,229,0
254,2026-01-17,2026-01,2026-01-12,Night,Sort,37,356.11,86867,23102,22886,233,0
255,2026-01-17,2026-01,2026-01-12,Weekend,Sort,29,283.01,66491,22056,21869,107,0
256,2026-01-18,2026-01,2026-01-12,Day,Pick,28,275.72,87763,35993,35764,174,0
257,2026-01-18,2026-01,2026-01-12,Night,Pick,28,243.39,78366,23165,22908,180,0
258,2026-01-18,2026-01,2026-01-12,Weekend,Pick,35,324.86,92188,31146,30730,211,0
259,2026-01-18,2026-01,2026-01-12,Day,Pack,31,292.97,78636,23400,23283,102,0
260,2026-01-18,2026-01,2026-01-12,Night,Pack,38,372.75,92988,29764,29623,181,0
261,2026-01-18,2026-01,2026-01-12,Weekend,Pack,38,368.53,87172,31041,30919,135,0
262,2026-01-18,2026-01,2026-01-12,Day,Stow,40,343.91,71874,26601,26168,264,0
263,2026-01-18,2026-01,2026-01-12,Night,Stow,42,399.03,84717,23814,23536,314,0
264,2026-01-18,2026-01,2026-01-12,Weekend,Stow,35,314.48,65509,21544,21221,170,0
265,2026-01-18,2026-01,2026-01-12,Day,Receive,28,262.73,53559,14926,14776,183,0
266,2026-01-18,2026-01,2026-01-12,Night,Receive,33,288.62,50766,16414,16189,189,0
267,2026-01-18,2026-01,2026-01-12,Weekend,Receive,27,261.06,47196,15825,15640,141,0
268,2026-01-18,2026-01,2026-01-12,Day,Sort,41,364.58,95407,29065,28790,281,0
269,2026-01-18,2026-01,2026-01-12,Night,Sort,42,413.63,104243,39186,38920,212,0
270,2026-01-18,2026-01,2026-01-12,Weekend,Sort,26,253.38,59698,16937,16762,140,0
271,2026-01-19,2026-01,2026-01-19,Day,Pick,21,199.67,64326,24856,24654,168,0
272,2026-01-19,2026-01,2026-01-19,Night,Pick,19,163.03,46758,15819,15692,92,0
273,2026-01-19,2026-01,2026-01-19,Weekend,Pick,23,210.05,63554,17627,17456,132,0
274,2026-01-19,2026-01,2026-01-19,Day,Pack,28,249.58,58548,17070,16980,90,0
275,2026-01-19,2026-01,2026-01-19,Night,Pack,19,190.83,42699,11823,11715,100,0
276,2026-01-19,2026-01,2026-01-19,Weekend,Pack,30,294.55,62643,18433,18368,100,0
277,2026-01-19,2026-01,2026-01-19,Day,Stow,27,254.4,54093,14338,14120,232,0
278,2026-01-19,2026-01,2026-01-19,Night,Stow,33,330.02,65790,21881,21546,258,0
279,2026-01-19,2026-01,2026-01-19,Weekend,Stow,41,378.27,73216,29311,28971,284,0
280,2026-01-19,2026-01,2026-01-19,Day,Receive,42,367.4,74049,22983,22701,203,0
281,2026-01-19,2026-01,2026-01-19,Night,Receive,30,288.14,50091,20656,20389,121,0
282,2026-01-19,2026-01,2026-01-19,Weekend,Receive,25,230.1,38535,14129,13976,116,0
283,2026-01-19,2026-01,2026-01-19,Day,Sort,29,279.76,72366,30289,29985,153,0
284,2026-01-19,2026-01,2026-01-19,Night,Sort,40,391.43,106027,32908,32744,219,0
285,2026-01-19,2026-01,2026-01-19,Weekend,Sort,22,203.74,50198,13272,13146,128,0
286,2026-01-20,2026-01,2026-01-19,Day,Pick,42,393.44,128484,50397,49816,382,0
287,2026-01-20,2026-01,2026-01-19,Night,Pick,20,186.92,55580,20001,19878,107,0
288,2026-01-20,2026-01,2026-01-19,Weekend,Pick,34,297.97,84163,34167,33939,208,0
289,2026-01-20,2026-01,2026-01-19,Day,Pack,40,377.99,89220,29576,29457,160,0
290,2026-01-20,2026-01,2026-01-19,Night,Pack,32,301.28,72357,22084,21907,93,0
291,2026-01-20,2026-01,2026-01-19,Weekend,Pack,18,175.36,40084,17639,17502,53,0
